yyyymmdd,data,ano,year,month,day,time,time_difference,ltm
20160201,12.4,-4.356356736242885,2016,2,1,78923,1.0,16.756356736242886
20160202,10.4,-6.363187855787478,2016,2,2,78924,1.0,16.76318785578748
20160203,12.5,-4.265085388994308,2016,2,3,78925,1.0,16.765085388994308
20160204,15.200000000000001,-1.5314990512333946,2016,2,4,78926,1.0,16.731499051233396
20160205,14.8,-1.905313092979128,2016,2,5,78927,1.0,16.70531309297913
20160206,13.600000000000001,-3.0981024667931685,2016,2,6,78928,1.0,16.69810246679317
20160207,13.700000000000001,-3.034155597722963,2016,2,7,78929,1.0,16.734155597722964
20160208,14.8,-1.9986717267552159,2016,2,8,78930,1.0,16.798671726755217
20160209,16.7,-0.1719165085388994,2016,2,9,78931,1.0,16.8719165085389
20160210,16.6,-0.35825426944971284,2016,2,10,78932,1.0,16.958254269449714
20160211,18.8,1.7491461100569268,2016,2,11,78933,1.0,17.050853889943074
20160212,19.200000000000003,2.055028462998102,2016,2,12,78934,1.0,17.1449715370019
20160213,23.1,5.875521821631878,2016,2,13,78935,1.0,17.224478178368123
20160214,21.700000000000003,4.37153700189754,2016,2,14,78936,1.0,17.328462998102463
20160215,13.200000000000001,-4.221631878557874,2016,2,15,78937,1.0,17.421631878557875
20160216,12.8,-4.708159392789376,2016,2,16,78938,1.0,17.508159392789377
20160217,12.9,-4.693358633776091,2016,2,17,78939,1.0,17.59335863377609
20160218,13.700000000000001,-4.002277039848201,2016,2,18,78940,1.0,17.7022770398482
20160219,15.3,-2.4870967741935495,2016,2,19,78941,1.0,17.78709677419355
20160220,16.0,-1.8464895635673635,2016,2,20,78942,1.0,17.846489563567363
20160221,15.0,-2.87134724857685,2016,2,21,78943,1.0,17.87134724857685
20160222,16.1,-1.7897533206831149,2016,2,22,78944,1.0,17.889753320683116
20160223,15.5,-2.415180265654648,2016,2,23,78945,1.0,17.915180265654648
20160224,13.700000000000001,-4.24648956356736,2016,2,24,78946,1.0,17.94648956356736
20160225,14.8,-3.205692599620491,2016,2,25,78947,1.0,18.00569259962049
20160226,15.200000000000001,-2.8922201138519927,2016,2,26,78948,1.0,18.092220113851994
20160227,15.5,-2.6660341555977247,2016,2,27,78949,1.0,18.166034155597725
20160228,16.6,-1.6523719165085389,2016,2,28,78950,1.0,18.25237191650854
20160229,18.5,0.24933586337761326,2016,2,29,78951,1.0,18.250664136622387
20160301,16.5,-1.8430740037950635,2016,3,1,78952,1.0,18.343074003795063
20160302,16.6,-1.843453510436433,2016,3,2,78953,1.0,18.443453510436434
20160303,18.7,0.11935483870967545,2016,3,3,78954,1.0,18.580645161290324
20160304,20.200000000000003,1.4667931688804572,2016,3,4,78955,1.0,18.733206831119546
20160305,20.8,1.921252371916509,2016,3,5,78956,1.0,18.87874762808349
20160306,21.8,2.797722960151802,2016,3,6,78957,1.0,19.0022770398482
20160307,19.700000000000003,0.5578747628083534,2016,3,7,78958,1.0,19.14212523719165
